source_ip,destination_ip,protocol,port,bytes,label,timestamp
192.168.1.9,1.1.1.1,TCP,25,62396,Brute Force,2024-01-07T16:08:30
192.168.1.9,9.9.9.9,TCP,8080,99094,BENIGN,2024-01-03T10:35:22
192.168.1.7,8.8.4.4,UDP,8080,59277,DoS-Hulk,2024-01-02T11:14:42
192.168.1.2,8.8.4.4,TCP,8080,72703,BENIGN,2024-01-03T19:01:32
192.168.1.1,8.8.8.8,ICMP,25,7816,BENIGN,2024-01-03T18:41:02
192.168.1.1,8.8.4.4,TCP,8080,31295,BENIGN,2024-01-04T09:06:44
192.168.1.4,1.1.1.1,ICMP,8080,75625,BENIGN,2024-01-06T17:40:31
192.168.1.8,9.9.9.9,TCP,22,12804,BENIGN,2024-01-06T05:33:09
192.168.1.7,9.9.9.9,ICMP,22,88359,BENIGN,2024-01-02T04:39:58
10.0.0.2,8.8.4.4,TCP,80,25212,BENIGN,2024-01-03T07:24:08
192.168.1.3,9.9.9.9,TCP,443,60737,BENIGN,2024-01-04T00:45:41
192.168.1.2,9.9.9.9,ICMP,22,6730,PortScan,2024-01-07T13:27:27
192.168.1.2,1.1.1.1,TCP,53,63753,PortScan,2024-01-06T20:12:20
192.168.1.7,8.8.8.8,TCP,53,382,BENIGN,2024-01-05T17:43:06
10.0.0.3,9.9.9.9,UDP,53,91403,BENIGN,2024-01-07T17:52:45
192.168.1.8,1.1.1.1,TCP,443,28634,BENIGN,2024-01-01T17:02:04
192.168.1.9,8.8.8.8,ICMP,443,7592,BENIGN,2024-01-01T14:36:18
192.168.1.9,1.1.1.1,TCP,8080,10600,BENIGN,2024-01-03T06:07:31
192.168.1.2,1.1.1.1,UDP,22,74768,BENIGN,2024-01-03T23:42:55
192.168.1.1,8.8.8.8,UDP,25,76603,BENIGN,2024-01-07T20:38:03
10.0.0.5,8.8.4.4,TCP,25,93972,BENIGN,2024-01-04T19:30:45
192.168.1.7,1.1.1.1,ICMP,25,39421,BENIGN,2024-01-06T13:10:34
10.0.0.3,8.8.8.8,TCP,53,81516,BENIGN,2024-01-07T19:59:01
192.168.1.2,1.1.1.1,ICMP,443,17461,Brute Force,2024-01-05T05:39:22
10.0.0.5,1.1.1.1,UDP,443,20776,DDoS,2024-01-06T07:37:49
10.0.0.2,8.8.4.4,ICMP,3389,85817,PortScan,2024-01-07T10:03:54
10.0.0.4,8.8.4.4,ICMP,22,17701,BENIGN,2024-01-04T05:01:52
192.168.1.2,1.1.1.1,UDP,443,79376,BENIGN,2024-01-03T13:21:01
192.168.1.4,8.8.4.4,ICMP,53,33014,DoS-Hulk,2024-01-01T14:47:46
192.168.1.7,8.8.4.4,TCP,22,43819,BENIGN,2024-01-02T14:06:14
192.168.1.5,1.1.1.1,ICMP,53,72409,BENIGN,2024-01-06T04:34:22
192.168.1.2,8.8.8.8,ICMP,80,71611,BENIGN,2024-01-01T10:29:38
192.168.1.10,1.1.1.1,UDP,80,5582,PortScan,2024-01-04T17:47:12
10.0.0.5,8.8.8.8,UDP,80,89499,BENIGN,2024-01-04T00:40:50
192.168.1.6,9.9.9.9,ICMP,25,20357,BENIGN,2024-01-03T20:57:17
10.0.0.3,1.1.1.1,UDP,22,23609,PortScan,2024-01-05T00:45:21
192.168.1.7,1.1.1.1,UDP,80,92017,DoS-GoldenEye,2024-01-02T07:29:06
192.168.1.1,9.9.9.9,TCP,80,60432,BENIGN,2024-01-05T05:50:43
10.0.0.3,1.1.1.1,TCP,22,86611,BENIGN,2024-01-03T08:15:11
192.168.1.5,8.8.8.8,UDP,443,84180,BENIGN,2024-01-07T04:22:30
10.0.0.4,8.8.4.4,TCP,22,34337,BENIGN,2024-01-03T04:00:41
192.168.1.5,8.8.8.8,TCP,8080,57059,BENIGN,2024-01-05T04:41:19
192.168.1.6,9.9.9.9,ICMP,8080,15257,DoS-Hulk,2024-01-05T16:11:46
192.168.1.4,8.8.4.4,TCP,25,57254,DDoS,2024-01-01T00:29:33
10.0.0.3,1.1.1.1,UDP,53,9271,BENIGN,2024-01-05T00:10:39
10.0.0.1,8.8.8.8,ICMP,443,66569,BENIGN,2024-01-04T18:05:08
192.168.1.6,9.9.9.9,ICMP,443,72767,BENIGN,2024-01-02T13:04:30
10.0.0.1,9.9.9.9,ICMP,25,22910,BENIGN,2024-01-07T21:45:50
192.168.1.9,8.8.8.8,UDP,443,27649,BENIGN,2024-01-06T05:12:50
192.168.1.10,8.8.4.4,UDP,53,58054,DoS-GoldenEye,2024-01-03T14:14:42
10.0.0.3,1.1.1.1,ICMP,22,37296,BENIGN,2024-01-07T06:08:10
192.168.1.10,8.8.4.4,TCP,3389,98553,BENIGN,2024-01-03T20:24:37
192.168.1.4,1.1.1.1,TCP,22,6157,BENIGN,2024-01-03T23:18:56
192.168.1.10,8.8.8.8,UDP,53,82644,Brute Force,2024-01-07T23:40:34
10.0.0.2,9.9.9.9,UDP,53,32079,BENIGN,2024-01-02T18:58:59
192.168.1.1,8.8.8.8,UDP,80,23153,BENIGN,2024-01-07T06:51:58
192.168.1.9,1.1.1.1,TCP,53,17577,BENIGN,2024-01-06T15:20:13
192.168.1.9,8.8.4.4,UDP,8080,94376,BENIGN,2024-01-07T03:01:38
10.0.0.5,9.9.9.9,TCP,25,62316,BENIGN,2024-01-06T11:05:32
192.168.1.4,8.8.4.4,ICMP,53,82249,BENIGN,2024-01-03T21:41:07
192.168.1.2,8.8.4.4,TCP,443,44120,BENIGN,2024-01-04T21:07:19
192.168.1.2,1.1.1.1,TCP,80,50305,DDoS,2024-01-02T20:30:27
192.168.1.2,9.9.9.9,UDP,443,71221,DoS-Hulk,2024-01-06T15:42:37
192.168.1.4,9.9.9.9,UDP,3389,76656,BENIGN,2024-01-01T05:41:20
10.0.0.3,9.9.9.9,UDP,22,46205,PortScan,2024-01-04T14:58:38
10.0.0.4,9.9.9.9,ICMP,25,96389,DoS-Hulk,2024-01-07T15:04:21
10.0.0.5,1.1.1.1,UDP,80,35874,DoS-GoldenEye,2024-01-06T06:56:47
192.168.1.7,8.8.4.4,ICMP,25,53094,BENIGN,2024-01-03T00:04:21
10.0.0.5,1.1.1.1,ICMP,8080,3634,PortScan,2024-01-05T18:46:00
10.0.0.1,8.8.8.8,TCP,25,56279,BENIGN,2024-01-02T15:31:31
192.168.1.3,8.8.8.8,UDP,53,43006,PortScan,2024-01-03T13:39:01
192.168.1.6,9.9.9.9,UDP,3389,55355,BENIGN,2024-01-04T01:28:45
192.168.1.8,8.8.8.8,ICMP,8080,6926,PortScan,2024-01-05T05:56:00
192.168.1.2,8.8.8.8,TCP,80,26230,BENIGN,2024-01-01T05:56:09
192.168.1.4,1.1.1.1,UDP,25,15093,BENIGN,2024-01-07T20:16:04
192.168.1.8,8.8.4.4,UDP,80,79515,Brute Force,2024-01-02T09:21:36
192.168.1.3,8.8.4.4,TCP,8080,3465,DoS-GoldenEye,2024-01-04T18:51:50
10.0.0.5,9.9.9.9,UDP,25,26095,BENIGN,2024-01-01T22:08:08
10.0.0.4,1.1.1.1,TCP,25,39629,BENIGN,2024-01-02T11:15:35
192.168.1.10,8.8.8.8,UDP,8080,56248,DoS-GoldenEye,2024-01-05T11:56:11
10.0.0.1,8.8.4.4,TCP,3389,55157,BENIGN,2024-01-06T22:46:53
192.168.1.6,9.9.9.9,ICMP,80,57180,BENIGN,2024-01-03T03:18:12
10.0.0.1,8.8.4.4,ICMP,3389,70639,DoS-Hulk,2024-01-06T20:49:43
10.0.0.4,8.8.4.4,UDP,3389,32277,BENIGN,2024-01-02T01:14:32
192.168.1.8,1.1.1.1,UDP,8080,80097,BENIGN,2024-01-05T14:23:19
192.168.1.8,8.8.4.4,TCP,53,27902,BENIGN,2024-01-05T07:21:00
192.168.1.6,8.8.4.4,ICMP,25,36311,DoS-GoldenEye,2024-01-07T17:53:09
192.168.1.4,8.8.8.8,TCP,25,53371,BENIGN,2024-01-06T22:18:31
192.168.1.4,9.9.9.9,ICMP,25,64432,BENIGN,2024-01-06T10:32:25
192.168.1.2,8.8.4.4,TCP,53,90773,DoS-GoldenEye,2024-01-03T22:52:03
192.168.1.10,8.8.4.4,UDP,8080,69688,BENIGN,2024-01-05T04:07:35
10.0.0.2,8.8.4.4,UDP,25,59573,BENIGN,2024-01-04T06:54:36
192.168.1.4,8.8.8.8,ICMP,80,41459,BENIGN,2024-01-02T10:49:22
10.0.0.3,1.1.1.1,TCP,80,96910,DoS-Hulk,2024-01-06T21:01:59
192.168.1.10,8.8.4.4,TCP,3389,25543,BENIGN,2024-01-04T14:17:16
192.168.1.3,8.8.4.4,TCP,25,70110,BENIGN,2024-01-02T12:52:11
192.168.1.1,8.8.4.4,ICMP,80,83706,BENIGN,2024-01-06T22:58:43
192.168.1.1,8.8.4.4,UDP,53,57833,BENIGN,2024-01-05T03:14:16
192.168.1.1,8.8.4.4,UDP,22,8664,BENIGN,2024-01-05T20:42:52
192.168.1.10,8.8.8.8,TCP,80,73872,BENIGN,2024-01-04T16:29:54
192.168.1.4,8.8.8.8,ICMP,3389,54648,BENIGN,2024-01-03T17:44:10
192.168.1.7,9.9.9.9,UDP,443,77239,DoS-GoldenEye,2024-01-06T04:54:20
192.168.1.10,8.8.8.8,ICMP,25,13106,BENIGN,2024-01-03T12:31:21
192.168.1.5,8.8.8.8,TCP,80,22882,BENIGN,2024-01-07T16:46:45
192.168.1.1,9.9.9.9,UDP,25,77932,BENIGN,2024-01-06T16:52:18
192.168.1.4,8.8.4.4,ICMP,443,92241,BENIGN,2024-01-06T12:14:46
192.168.1.4,8.8.4.4,ICMP,8080,86762,BENIGN,2024-01-03T09:37:08
192.168.1.9,1.1.1.1,ICMP,80,34916,BENIGN,2024-01-02T17:25:45
192.168.1.3,8.8.4.4,ICMP,25,74707,BENIGN,2024-01-04T12:03:50
192.168.1.8,8.8.4.4,ICMP,53,35783,BENIGN,2024-01-07T01:46:23
192.168.1.8,8.8.8.8,ICMP,22,56726,BENIGN,2024-01-04T21:52:58
192.168.1.1,8.8.8.8,TCP,25,75492,BENIGN,2024-01-01T06:02:33
10.0.0.1,8.8.4.4,ICMP,22,99225,Brute Force,2024-01-03T03:01:40
10.0.0.1,9.9.9.9,UDP,80,76820,BENIGN,2024-01-06T06:57:38
192.168.1.8,8.8.8.8,UDP,443,53623,BENIGN,2024-01-05T01:04:59
192.168.1.2,1.1.1.1,UDP,53,91021,BENIGN,2024-01-07T00:18:56
192.168.1.7,8.8.8.8,UDP,22,41324,BENIGN,2024-01-04T01:30:59
10.0.0.3,9.9.9.9,ICMP,3389,250,BENIGN,2024-01-07T14:02:30
192.168.1.1,1.1.1.1,ICMP,443,81709,BENIGN,2024-01-07T01:11:47
10.0.0.3,8.8.8.8,TCP,443,72087,BENIGN,2024-01-02T14:09:37
192.168.1.8,9.9.9.9,TCP,22,82678,DDoS,2024-01-03T21:42:01
192.168.1.5,8.8.8.8,ICMP,53,12317,DoS-Hulk,2024-01-03T17:26:55
10.0.0.5,8.8.8.8,UDP,22,84996,Brute Force,2024-01-02T20:50:50
10.0.0.2,8.8.4.4,ICMP,25,35938,BENIGN,2024-01-06T01:01:13
192.168.1.8,1.1.1.1,UDP,8080,19058,PortScan,2024-01-05T15:43:39
192.168.1.10,1.1.1.1,TCP,443,54487,BENIGN,2024-01-05T02:59:45
192.168.1.9,8.8.4.4,TCP,443,95264,DDoS,2024-01-04T14:57:38
192.168.1.10,9.9.9.9,TCP,53,70692,PortScan,2024-01-06T21:04:28
192.168.1.9,9.9.9.9,UDP,443,24827,BENIGN,2024-01-03T21:33:25
192.168.1.4,9.9.9.9,TCP,443,97709,BENIGN,2024-01-06T17:45:51
10.0.0.3,9.9.9.9,UDP,25,85561,DoS-Hulk,2024-01-02T20:18:13
192.168.1.1,1.1.1.1,ICMP,8080,43615,BENIGN,2024-01-02T05:13:59
192.168.1.8,8.8.8.8,ICMP,53,2111,PortScan,2024-01-02T17:59:17
10.0.0.1,1.1.1.1,TCP,53,34837,BENIGN,2024-01-05T02:36:47
192.168.1.7,8.8.8.8,UDP,3389,88489,BENIGN,2024-01-07T11:25:43
192.168.1.6,9.9.9.9,ICMP,22,81031,BENIGN,2024-01-01T19:55:44
10.0.0.1,8.8.4.4,TCP,25,11946,BENIGN,2024-01-06T06:24:12
10.0.0.3,8.8.8.8,UDP,80,91064,Brute Force,2024-01-04T15:13:32
192.168.1.1,8.8.4.4,TCP,443,47084,DDoS,2024-01-05T13:10:49
192.168.1.4,9.9.9.9,ICMP,25,23700,BENIGN,2024-01-03T01:30:40
192.168.1.10,9.9.9.9,ICMP,25,31666,BENIGN,2024-01-07T00:57:21
192.168.1.3,1.1.1.1,UDP,25,33389,DDoS,2024-01-06T13:51:34
192.168.1.1,9.9.9.9,UDP,25,71743,BENIGN,2024-01-02T22:00:49
192.168.1.6,8.8.4.4,ICMP,53,90580,BENIGN,2024-01-04T00:50:46
192.168.1.5,1.1.1.1,UDP,3389,63435,BENIGN,2024-01-02T07:03:54
192.168.1.10,8.8.4.4,ICMP,443,91755,BENIGN,2024-01-04T13:59:31
10.0.0.4,9.9.9.9,UDP,22,74277,BENIGN,2024-01-01T14:17:06
10.0.0.2,9.9.9.9,UDP,3389,30262,DDoS,2024-01-05T06:37:15
192.168.1.4,8.8.4.4,ICMP,3389,94593,BENIGN,2024-01-02T15:50:23
10.0.0.5,8.8.8.8,UDP,3389,57879,BENIGN,2024-01-01T09:43:05
10.0.0.2,1.1.1.1,TCP,443,42923,BENIGN,2024-01-06T01:01:26
192.168.1.3,8.8.4.4,ICMP,8080,35820,BENIGN,2024-01-02T23:55:37
10.0.0.4,9.9.9.9,UDP,25,44496,BENIGN,2024-01-02T09:32:44
192.168.1.2,1.1.1.1,TCP,3389,88747,BENIGN,2024-01-05T19:45:16
10.0.0.3,8.8.4.4,TCP,3389,51817,Brute Force,2024-01-01T04:03:14
192.168.1.2,9.9.9.9,UDP,25,98274,BENIGN,2024-01-04T04:21:36
10.0.0.4,8.8.4.4,TCP,25,30747,BENIGN,2024-01-06T17:19:39
10.0.0.5,8.8.4.4,ICMP,80,84989,BENIGN,2024-01-01T18:24:47
192.168.1.8,8.8.4.4,ICMP,53,15392,BENIGN,2024-01-02T16:42:46
192.168.1.1,8.8.4.4,UDP,22,12839,BENIGN,2024-01-03T20:23:25
192.168.1.3,9.9.9.9,UDP,443,87981,DDoS,2024-01-07T13:20:32
10.0.0.2,1.1.1.1,UDP,25,13078,BENIGN,2024-01-06T22:31:57
192.168.1.5,8.8.8.8,ICMP,443,28577,BENIGN,2024-01-06T09:08:40
192.168.1.4,8.8.4.4,TCP,25,48247,BENIGN,2024-01-07T14:35:13
10.0.0.1,8.8.4.4,TCP,53,36260,DDoS,2024-01-03T07:17:08
10.0.0.4,9.9.9.9,TCP,25,27901,Brute Force,2024-01-01T06:13:14
192.168.1.6,1.1.1.1,TCP,3389,74100,BENIGN,2024-01-03T11:46:13
10.0.0.3,1.1.1.1,ICMP,80,30639,BENIGN,2024-01-04T23:41:59
10.0.0.3,8.8.8.8,UDP,3389,19064,DoS-GoldenEye,2024-01-02T13:51:46
10.0.0.3,1.1.1.1,TCP,25,3479,BENIGN,2024-01-02T14:23:25
10.0.0.3,1.1.1.1,ICMP,443,2168,BENIGN,2024-01-03T02:45:10
192.168.1.3,9.9.9.9,ICMP,22,97835,BENIGN,2024-01-01T18:30:45
10.0.0.3,8.8.4.4,ICMP,8080,14393,BENIGN,2024-01-06T11:39:22
192.168.1.10,8.8.8.8,ICMP,3389,86463,BENIGN,2024-01-07T07:53:01
10.0.0.1,8.8.8.8,TCP,53,52740,BENIGN,2024-01-06T04:09:40
192.168.1.8,9.9.9.9,TCP,22,42319,BENIGN,2024-01-02T19:12:19
192.168.1.5,8.8.4.4,UDP,8080,69641,BENIGN,2024-01-04T13:53:42
192.168.1.10,9.9.9.9,TCP,3389,92083,BENIGN,2024-01-02T09:19:31
10.0.0.1,1.1.1.1,UDP,53,30049,PortScan,2024-01-06T00:31:54
192.168.1.8,9.9.9.9,UDP,25,12563,BENIGN,2024-01-04T19:02:10
10.0.0.1,8.8.4.4,UDP,80,90123,BENIGN,2024-01-06T18:08:25
10.0.0.4,8.8.8.8,TCP,53,12756,BENIGN,2024-01-05T12:32:28
192.168.1.9,8.8.8.8,ICMP,8080,73720,DoS-GoldenEye,2024-01-05T00:00:58
192.168.1.7,8.8.4.4,ICMP,3389,55535,BENIGN,2024-01-01T14:59:05
192.168.1.10,8.8.4.4,UDP,22,75848,Brute Force,2024-01-07T03:47:40
10.0.0.1,9.9.9.9,TCP,3389,14284,BENIGN,2024-01-05T05:58:41
192.168.1.6,8.8.8.8,UDP,8080,29743,PortScan,2024-01-06T04:59:16
10.0.0.3,8.8.8.8,ICMP,25,90994,PortScan,2024-01-04T05:53:59
192.168.1.5,8.8.4.4,UDP,443,900,BENIGN,2024-01-03T04:50:17
192.168.1.10,9.9.9.9,TCP,80,97220,PortScan,2024-01-01T08:55:46
192.168.1.9,1.1.1.1,UDP,53,59560,BENIGN,2024-01-05T03:17:35
192.168.1.5,8.8.4.4,ICMP,8080,11235,BENIGN,2024-01-01T15:19:24
10.0.0.3,8.8.8.8,ICMP,22,35765,BENIGN,2024-01-06T09:03:57
192.168.1.8,9.9.9.9,UDP,443,28355,BENIGN,2024-01-07T05:13:54
192.168.1.7,8.8.8.8,UDP,25,89030,BENIGN,2024-01-06T21:44:31
192.168.1.5,8.8.8.8,TCP,53,78654,BENIGN,2024-01-01T15:57:23
192.168.1.5,1.1.1.1,TCP,3389,33591,BENIGN,2024-01-04T12:18:27
192.168.1.1,9.9.9.9,ICMP,53,23128,BENIGN,2024-01-02T13:37:41
10.0.0.2,1.1.1.1,ICMP,8080,87662,BENIGN,2024-01-05T07:09:31
10.0.0.4,8.8.8.8,UDP,22,60360,BENIGN,2024-01-01T22:40:44
192.168.1.10,9.9.9.9,ICMP,53,93095,PortScan,2024-01-06T01:39:43
192.168.1.7,8.8.8.8,UDP,80,81118,BENIGN,2024-01-06T14:00:46
10.0.0.5,8.8.4.4,TCP,53,13975,PortScan,2024-01-03T22:52:15
192.168.1.7,8.8.8.8,UDP,3389,40768,BENIGN,2024-01-05T02:53:25
10.0.0.3,1.1.1.1,TCP,8080,83098,BENIGN,2024-01-02T09:12:45
192.168.1.4,8.8.4.4,UDP,25,84699,BENIGN,2024-01-02T19:01:04
192.168.1.3,8.8.4.4,TCP,80,79057,BENIGN,2024-01-02T20:31:35
10.0.0.1,8.8.8.8,TCP,3389,82406,DoS-GoldenEye,2024-01-06T23:55:19
192.168.1.10,9.9.9.9,ICMP,8080,84378,BENIGN,2024-01-04T22:08:28
10.0.0.1,8.8.4.4,TCP,53,9050,PortScan,2024-01-06T16:34:59
192.168.1.5,8.8.4.4,ICMP,22,46229,BENIGN,2024-01-07T03:46:21
192.168.1.8,9.9.9.9,TCP,22,48431,BENIGN,2024-01-04T11:37:02
10.0.0.4,8.8.8.8,ICMP,8080,66562,BENIGN,2024-01-05T15:59:19
192.168.1.9,8.8.8.8,UDP,3389,75028,BENIGN,2024-01-03T06:49:43
192.168.1.8,1.1.1.1,TCP,53,13666,BENIGN,2024-01-05T04:02:00
192.168.1.2,1.1.1.1,TCP,80,92849,Brute Force,2024-01-06T07:30:22
192.168.1.9,1.1.1.1,UDP,443,37179,Brute Force,2024-01-05T16:50:35
192.168.1.6,8.8.8.8,ICMP,25,43963,BENIGN,2024-01-01T19:11:53
192.168.1.9,9.9.9.9,UDP,443,94961,BENIGN,2024-01-02T19:47:57
192.168.1.10,1.1.1.1,UDP,443,86090,BENIGN,2024-01-05T18:09:57
10.0.0.2,8.8.8.8,UDP,8080,49472,BENIGN,2024-01-04T23:40:32
10.0.0.1,8.8.8.8,ICMP,25,55596,DoS-GoldenEye,2024-01-07T04:06:28
192.168.1.6,8.8.4.4,TCP,80,44891,BENIGN,2024-01-06T21:38:12
192.168.1.3,1.1.1.1,TCP,443,13356,BENIGN,2024-01-07T03:52:31
10.0.0.4,8.8.8.8,ICMP,443,81106,DoS-GoldenEye,2024-01-02T14:10:14
192.168.1.3,1.1.1.1,TCP,3389,90912,BENIGN,2024-01-03T00:13:00
192.168.1.1,9.9.9.9,UDP,25,94417,DoS-Hulk,2024-01-03T21:11:08
192.168.1.10,8.8.4.4,ICMP,3389,58941,Brute Force,2024-01-03T20:09:29
192.168.1.5,9.9.9.9,TCP,443,89007,BENIGN,2024-01-07T22:08:48
192.168.1.8,8.8.4.4,UDP,8080,69235,Brute Force,2024-01-06T01:56:37
10.0.0.4,1.1.1.1,ICMP,80,32868,Brute Force,2024-01-01T15:11:54
10.0.0.4,8.8.4.4,ICMP,22,93344,BENIGN,2024-01-07T06:16:10
192.168.1.5,8.8.8.8,TCP,443,58993,PortScan,2024-01-07T05:31:29
192.168.1.7,8.8.8.8,TCP,3389,59230,BENIGN,2024-01-05T05:49:26
192.168.1.7,8.8.8.8,UDP,8080,49115,DDoS,2024-01-03T20:40:31
192.168.1.2,8.8.4.4,TCP,22,41870,BENIGN,2024-01-02T04:51:36
10.0.0.1,8.8.4.4,TCP,80,5120,PortScan,2024-01-04T11:33:34
192.168.1.8,1.1.1.1,ICMP,53,58899,DDoS,2024-01-01T01:31:46
192.168.1.1,8.8.4.4,TCP,3389,19697,DDoS,2024-01-07T15:51:02
192.168.1.10,9.9.9.9,TCP,3389,37862,Brute Force,2024-01-03T21:13:03
192.168.1.1,1.1.1.1,UDP,25,81733,BENIGN,2024-01-06T13:08:38
10.0.0.4,9.9.9.9,ICMP,8080,2254,BENIGN,2024-01-07T06:06:50
10.0.0.2,1.1.1.1,UDP,53,305,BENIGN,2024-01-05T06:45:54
192.168.1.7,1.1.1.1,ICMP,25,11321,BENIGN,2024-01-07T08:28:33
192.168.1.2,8.8.8.8,UDP,3389,61721,Brute Force,2024-01-01T12:40:49
192.168.1.6,8.8.4.4,ICMP,22,46905,BENIGN,2024-01-01T19:40:41
10.0.0.2,8.8.8.8,ICMP,25,99279,BENIGN,2024-01-05T00:51:11
192.168.1.6,8.8.4.4,ICMP,80,89842,BENIGN,2024-01-06T15:19:52
192.168.1.8,1.1.1.1,TCP,22,93953,Brute Force,2024-01-06T13:18:31
192.168.1.4,8.8.8.8,TCP,22,41465,BENIGN,2024-01-04T18:18:58
10.0.0.4,9.9.9.9,UDP,22,98835,BENIGN,2024-01-03T07:39:46
10.0.0.4,8.8.8.8,ICMP,443,35911,BENIGN,2024-01-02T12:15:21
192.168.1.7,9.9.9.9,ICMP,53,50778,DoS-GoldenEye,2024-01-05T02:45:05
192.168.1.8,9.9.9.9,UDP,3389,68162,Brute Force,2024-01-04T05:41:16
10.0.0.2,9.9.9.9,TCP,53,79064,DoS-GoldenEye,2024-01-03T04:33:42
192.168.1.6,8.8.8.8,TCP,443,86728,BENIGN,2024-01-04T14:06:40
192.168.1.10,9.9.9.9,TCP,25,58283,BENIGN,2024-01-05T06:23:43
10.0.0.2,8.8.4.4,ICMP,53,36086,BENIGN,2024-01-01T16:42:24
10.0.0.1,9.9.9.9,UDP,8080,98390,BENIGN,2024-01-02T22:35:58
192.168.1.3,9.9.9.9,TCP,80,8912,Brute Force,2024-01-03T20:44:19
192.168.1.6,8.8.4.4,UDP,8080,4344,DoS-GoldenEye,2024-01-02T20:41:31
192.168.1.6,8.8.4.4,UDP,3389,10177,BENIGN,2024-01-07T23:10:00
192.168.1.6,9.9.9.9,UDP,25,36628,BENIGN,2024-01-04T00:42:16
192.168.1.1,1.1.1.1,UDP,8080,50823,Brute Force,2024-01-07T19:35:56
10.0.0.3,8.8.4.4,ICMP,53,28224,BENIGN,2024-01-04T11:10:49
192.168.1.8,1.1.1.1,TCP,80,9806,BENIGN,2024-01-06T11:40:01
10.0.0.2,9.9.9.9,TCP,3389,89481,BENIGN,2024-01-04T21:05:12
10.0.0.2,8.8.8.8,ICMP,8080,38158,BENIGN,2024-01-04T15:22:07
10.0.0.2,1.1.1.1,UDP,8080,29491,PortScan,2024-01-02T11:20:57
10.0.0.3,1.1.1.1,TCP,3389,64852,Brute Force,2024-01-01T07:39:20
192.168.1.10,8.8.4.4,UDP,3389,72405,BENIGN,2024-01-02T13:47:54
192.168.1.2,8.8.8.8,UDP,53,94069,BENIGN,2024-01-06T19:25:16
10.0.0.3,9.9.9.9,ICMP,22,16526,BENIGN,2024-01-04T20:20:27
192.168.1.8,9.9.9.9,ICMP,8080,45256,BENIGN,2024-01-02T13:22:48
10.0.0.3,1.1.1.1,TCP,53,66011,PortScan,2024-01-01T16:08:24
192.168.1.9,1.1.1.1,UDP,80,21329,PortScan,2024-01-04T21:58:54
192.168.1.4,8.8.4.4,ICMP,443,10436,DDoS,2024-01-04T00:59:38
192.168.1.9,8.8.4.4,TCP,25,39791,BENIGN,2024-01-07T11:23:12
10.0.0.1,1.1.1.1,ICMP,8080,20310,BENIGN,2024-01-03T01:51:56
10.0.0.2,8.8.4.4,ICMP,22,3818,BENIGN,2024-01-01T23:39:28
10.0.0.1,8.8.4.4,ICMP,80,75091,BENIGN,2024-01-06T01:20:22
192.168.1.1,9.9.9.9,ICMP,8080,38067,BENIGN,2024-01-04T15:59:28
10.0.0.3,9.9.9.9,UDP,53,9664,BENIGN,2024-01-01T17:27:03
192.168.1.7,9.9.9.9,UDP,80,44689,BENIGN,2024-01-02T17:50:47
10.0.0.2,8.8.4.4,ICMP,3389,45368,BENIGN,2024-01-05T20:08:04
